"""Munic¡pio"";""Quantidade aprovada"";""Valor aprovado"""
"""211290 VITORIA DO MEARIM"";28716;1818503,04"
"""211300 VITORINO FREIRE"";78300;5243961,79"
"""211400 ZE DOCA"";164140;9803550,56"
"""220010 AGRICOLANDIA"";1901;79724,19"
"""220020 AGUA BRANCA"";65015;2563476,19"
"""220025 ALAGOINHA DO PIAUI"";332;110593,30"
"""220030 ALTO LONGA"";6590;396394,94"
"""220040 ALTOS"";50430;3572614,65"
"""220050 AMARANTE"";32448;2227439,25"
"""220100 ARRAIAL"";2784;210498,69"
"""220110 AVELINO LOPES"";544;43093,16"
"""220120 BARRAS"";60564;6472274,77"
"""220150 BATALHA"";12466;1933835,38"
"""220160 BENEDITINOS"";5548;284883,88"
"""220180 BOCAINA"";2349;277523,82"
"""220190 BOM JESUS"";222626;19721458,54"
"""220220 CAMPO MAIOR"";306034;16076521,02"
"""220230 CANTO DO BURITI"";36762;3799344,95"
